r,alpha,beta,x
"[0.34287933651243085, 0.1489995458017383, 0.10150847773587603, 0.2587321702014928, 0.20165889817912058]","[0.13694070528652322, 0.13691130882526253, 0.0588574645935568, 0.09402446124740083, 0.08937679755860369]","[0.4081517586987615, 0.5223666983805606, 0.4848541625601323, 0.5064326750637722, 0.5216549453029355]","[40.81517586987615, 13.691130882526254, 5.88574645935568, 30.67026703238155, 8.93767975586037]"
"[0.12072639803858011, 0.4617796389279211, 0.190453918715855, 0.5020677711701805, 0.3118380356806074]","[0.0912689449915382, 0.07999745960588717, 0.14505744865599657, 0.10368067829070818, 0.0520676569219642]","[0.49520459539721173, 0.40324314697546404, 0.5020127123136191, 0.41277743311826054, 0.5407669209618691]","[9.12689449915382, 29.88285163122404, 14.505744865599656, 41.27774331182606, 5.20676569219642]"
"[0.10876362425771248, 0.23763662102555005, 0.4378923658536333, 0.5342636323157015, 0.1981938152636039]","[0.10413452566021364, 0.08214343565864307, 0.06429111024347892, 0.14707135563193569, 0.10146055980654167]","[0.37909301950750146, 0.41966669841305854, 0.3512692351511465, 0.4550485298756263, 0.4004672896709]","[10.413452566021364, 8.214343565864308, 25.72129489989753, 45.50485298756263, 10.146055980654168]"
"[0.4262582427297859, 0.14993479128778914, 0.5005378796235116, 0.49693268208435665, 0.4814972391245202]","[0.05877842448221979, 0.13333849955101262, 0.0959917501933597, 0.06796307329995634, 0.08939769659113866]","[0.5480102211919989, 0.39956010688755034, 0.4826949087639436, 0.5072802690641836, 0.37987787554245106]","[5.877842448221979, 13.333849955101263, 48.26949087639436, 23.579047061168538, 8.939769659113866]"
"[0.08013795565339472, 0.46890816643625377, 0.20852974267840618, 0.3150641650307177, 0.3458353253330991]","[0.06854112918443186, 0.11718715097921907, 0.09127487791518538, 0.05733227225088551, 0.09504529182244106]","[0.5274058927716092, 0.35907145886991076, 0.4802732875194323, 0.3940746749466137, 0.4883352468889049]","[6.854112918443186, 35.907145886991074, 9.127487791518538, 5.733227225088551, 42.378026177958645]"
"[0.43668768896198584, 0.412093752991346, 0.05118831645900486, 0.30677551060630187, 0.35086112947843273]","[0.14123023663060316, 0.06930779352344313, 0.13641045433574012, 0.05143547607903855, 0.07907716870840739]","[0.49394320048350615, 0.4160156013900627, 0.5486386226449484, 0.39251716410628507, 0.5074956277366831]","[49.394320048350615, 23.91337003933078, 13.641045433574012, 5.143547607903855, 7.907716870840739]"
"[0.10176604723751516, 0.3096596820557254, 0.1800011567729063, 0.3328650722233978, 0.21193928004709]","[0.12979973551297896, 0.06276375395022613, 0.12634975905337775, 0.11550454498204198, 0.054808534390459386]","[0.5016313052680882, 0.459589909540928, 0.3613678683115906, 0.35033326715073226, 0.5422030326952949]","[12.979973551297896, 33.87087038924516, 12.634975905337775, 35.03332671507323, 5.480853439045939]"
"[0.364336160372934, 0.47686377619700465, 0.5248050738258944, 0.4060549503011587, 0.5098336329381545]","[0.11252820391536712, 0.05959840533964398, 0.11889809720819063, 0.13474344728872995, 0.1195680263486759]","[0.42727343909196824, 0.35203269343283583, 0.35346186804805124, 0.48159490440924657, 0.4777462436925984]","[11.252820391536712, 5.959840533964398, 35.34618680480512, 13.474344728872994, 33.966807540820774]"
"[0.05185186974143331, 0.22771995969074615, 0.30743696229454914, 0.1462076428736107, 0.5369776575589504]","[0.12273546515215215, 0.13209298321471818, 0.08366420211159972, 0.1305023116701324, 0.12327465527181505]","[0.4022643814599779, 0.51359519978871, 0.5456360130261784, 0.49506046280904037, 0.3839101287425886]","[12.273546515215216, 13.209298321471818, 23.07591112204086, 13.05023116701324, 38.39101287425886]"
"[0.3202657290778291, 0.4616634293143542, 0.4616246679177951, 0.18669439320011016, 0.5362092053277664]","[0.11705148299171003, 0.08553021370941227, 0.14255505813289107, 0.07490088508734236, 0.08750548749661623]","[0.53349888116605, 0.39218483391935766, 0.3994025231613034, 0.5000638426088054, 0.4704828134145461]","[11.705148299171004, 19.50097603735105, 14.255505813289107, 7.490088508734235, 47.04828134145461]"
"[0.10237678594867407, 0.5145340424804197, 0.0704759210872329, 0.15280018871114354, 0.3239177725931804]","[0.12912786338001297, 0.12833133003280864, 0.052834556181524876, 0.12292947954075707, 0.11904199935941429]","[0.46476303785416506, 0.3618407820447994, 0.4209848530150694, 0.4451274980549338, 0.43550147994383775]","[12.912786338001297, 36.18407820447994, 5.283455618152487, 12.292947954075707, 33.32673188529057]"
"[0.4765731503974257, 0.4025638122921177, 0.4212772060309334, 0.08150541910610533, 0.054931783143136695]","[0.13729661931886733, 0.12409373982271861, 0.0741306852341085, 0.12047548358746134, 0.06387728956872642]","[0.4287674405175025, 0.37768195772086377, 0.5233899185490356, 0.45674669878066376, 0.5013897539822745]","[42.87674405175025, 12.40937398227186, 26.278604650359114, 12.047548358746134, 6.387728956872642]"
"[0.358901202299691, 0.14023259537641775, 0.07832431752624959, 0.19928768102445354, 0.3593097239338878]","[0.09665798051077104, 0.11864868333240068, 0.09797104841604469, 0.07617160220244022, 0.06452666111684534]","[0.36660120207060864, 0.36073952244085883, 0.38256242470964014, 0.5286081780809063, 0.4397738543938793]","[26.743481165523505, 11.864868333240068, 9.797104841604469, 7.617160220244022, 43.97738543938793]"
"[0.5226646855862563, 0.3761454318252581, 0.2450624727214164, 0.536163452674434, 0.4740713076563481]","[0.12240917883092957, 0.13938594812816524, 0.06289468609710591, 0.1147203430510724, 0.1385973803319091]","[0.46139610378877505, 0.4714192941317173, 0.35758357882204034, 0.42316094570168855, 0.40009548065459155]","[23.59610397411312, 13.938594812816524, 6.289468609710591, 42.31609457016886, 13.85973803319091]"
"[0.30662110731148956, 0.3582104466451866, 0.4035663279697049, 0.44013882498402634, 0.24230000346793518]","[0.08354315999452307, 0.12308978989115424, 0.08585707237588351, 0.05571896654262668, 0.11642176732190669]","[0.49819923601467553, 0.3949115128417551, 0.4923501436273092, 0.4055028886326614, 0.4581349095971819]","[8.354315999452307, 12.308978989115424, 27.14423941597544, 40.55028886326614, 11.64217673219067]"
"[0.3992440082092383, 0.11129007479836535, 0.5235913213218495, 0.4222385667508116, 0.4777917039584724]","[0.08142705287648366, 0.08564735438596985, 0.14512507980078915, 0.13121992541523791, 0.11483529926649247]","[0.39949625135708366, 0.48413767090517645, 0.3598010621056771, 0.45995791462178703, 0.4133827566608719]","[8.142705287648367, 8.564735438596985, 35.98010621056771, 13.121992541523792, 34.19046052166314]"
"[0.3859198389266549, 0.4443643593339539, 0.5203590650420099, 0.45348897918506975, 0.4494422920704995]","[0.060896910028585265, 0.13830711055754039, 0.10902080792040142, 0.09318127459372613, 0.053057909231718985]","[0.3509530139405517, 0.5244797598495223, 0.39314312193585194, 0.4737945071563613, 0.515805454271429]","[6.089691002858526, 13.830711055754039, 39.314312193585195, 35.45949482463034, 5.305790923171898]"
"[0.41542652245587514, 0.3211642422333829, 0.08595818739299156, 0.19518803434474685, 0.11742937327449356]","[0.08071370319035354, 0.057031376103303735, 0.12749283753991364, 0.14308695735458227, 0.12435027356529552]","[0.36514503481026167, 0.3553021565168132, 0.4864127622159218, 0.3705559530711897, 0.4287391157009258]","[36.51450348102617, 23.992489672994694, 12.749283753991364, 14.308695735458226, 12.435027356529552]"
"[0.31608544007509154, 0.16983922551452618, 0.11492873458392223, 0.20750255238320264, 0.497044277296804]","[0.14429618501428665, 0.12931200882711097, 0.09723242997737018, 0.12460366828825216, 0.08425302157921095]","[0.476571295139229, 0.4972567303574875, 0.4682597068784336, 0.36375943205934, 0.4774817603578071]","[17.137013254945963, 12.931200882711098, 9.723242997737017, 12.460366828825215, 47.74817603578071]"
"[0.49245377663259354, 0.5219738251762208, 0.10990881056809239, 0.2699684693717668, 0.08046437014428516]","[0.14774767996277471, 0.13442458005649383, 0.11594043982186333, 0.05329747311716813, 0.06078333376703185]","[0.44528879703521496, 0.4976107548938006, 0.3572943917411911, 0.5318159878204457, 0.5410334561263666]","[27.23679984001361, 49.761075489380055, 11.594043982186333, 5.329747311716813, 6.078333376703185]"
"[0.41698801006509817, 0.2342322264755976, 0.2939882758185746, 0.25637520444859735, 0.17185340980817776]","[0.06948159922547657, 0.0831075997000898, 0.07427187657394393, 0.06476340853436975, 0.08284590824707855]","[0.43856729071423595, 0.40740974526202967, 0.5077038490131229, 0.39469254606052495, 0.38966129620396583]","[43.856729071423594, 8.310759970008979, 33.0715792804226, 6.476340853436975, 8.284590824707855]"
"[0.25208991518871043, 0.40913559381341996, 0.2810030948149382, 0.2301394009851474, 0.0841383237146819]","[0.06757325191986953, 0.09459541040839553, 0.08775708137517393, 0.12675558680567253, 0.10698895953942036]","[0.4197960929297039, 0.4336028927041593, 0.48367975334734126, 0.371734424676534, 0.44585506079305404]","[6.757325191986953, 43.36028927041593, 26.50793090308783, 12.675558680567253, 10.698895953942037]"
"[0.4118350594678171, 0.40253291370594096, 0.41757419607170637, 0.24067276476010252, 0.1674598682745233]","[0.08118973847653076, 0.12273676054029657, 0.13304787768438825, 0.06656107743906453, 0.0866286645211935]","[0.4579003930309502, 0.48955031076275246, 0.38163637775998155, 0.3996931677804342, 0.5307632502623141]","[34.24371197394638, 12.273676054029657, 38.163637775998154, 6.656107743906453, 8.66286645211935]"
"[0.08895219033027403, 0.11129232455185047, 0.07249941360230024, 0.4124172196361934, 0.14471322203881215]","[0.08117905350867186, 0.08628420693384341, 0.09533038970634763, 0.12168703326380845, 0.0813141743871089]","[0.4024265572717617, 0.37038355114820554, 0.47543786292791895, 0.35851191066132526, 0.429475900946399]","[8.117905350867186, 8.62842069338434, 9.533038970634763, 35.85119106613253, 37.869443918981176]"
"[0.39559052977099735, 0.09405276198296765, 0.4664123447780886, 0.12456602525083278, 0.24500596234278188]","[0.07704554479917927, 0.05711426192657163, 0.12880612899174873, 0.13784477993047187, 0.0809614097887554]","[0.43616119056605707, 0.5420666701764352, 0.5491666598164278, 0.4273433600240633, 0.49149908975191137]","[17.491288853777327, 5.7114261926571634, 54.91666598164278, 13.784477993047187, 8.09614097887554]"
"[0.13289055212234235, 0.31054433750776156, 0.30671480955677927, 0.06447847298230332, 0.34298206384412677]","[0.09969911637257922, 0.07022081900960442, 0.09855690665874073, 0.06166060943237586, 0.05403903773088127]","[0.5141965477192917, 0.5163686043669621, 0.367927645182463, 0.3832899275538022, 0.46713720557674426]","[9.969911637257923, 27.29461619595599, 9.855690665874073, 6.166060943237587, 46.71372055767443]"
"[0.19942429473134843, 0.29500805605220404, 0.3412255069590037, 0.35776112675376004, 0.5058409946220159]","[0.05084694261229111, 0.11900647596109779, 0.11998799699667596, 0.13536386533345351, 0.13082306350754463]","[0.4764058680232362, 0.4538828284238503, 0.3780123842899469, 0.4852793884295723, 0.47060129350346114]","[5.084694261229111, 11.900647596109778, 11.998799699667597, 23.95572909264739, 47.060129350346116]"
"[0.19197903917911913, 0.2877941687000552, 0.05960560809648564, 0.18935137199533875, 0.14326700560710814]","[0.13014359153238192, 0.054487612928667044, 0.07732093276226418, 0.14340867724796047, 0.09982790095221536]","[0.48499410681629457, 0.385154698695065, 0.517363307340519, 0.3510698103969907, 0.4277623093278702]","[29.4287790342495, 38.515469869506504, 7.732093276226418, 14.340867724796047, 9.982790095221535]"
"[0.08968893163269033, 0.5196007713024465, 0.1551173060866161, 0.4418520316122299, 0.28882688419300273]","[0.09684904766690888, 0.11731747384560103, 0.09364655933074584, 0.0759962009961084, 0.13268216245675651]","[0.3605138461515365, 0.42452659786184527, 0.35212639361877235, 0.3667914090344766, 0.41768466272759586]","[9.684904766690888, 42.452659786184526, 9.364655933074584, 25.229563268374342, 13.268216245675651]"
"[0.1548175430288002, 0.4665181008067685, 0.34716186009849853, 0.44612644752566144, 0.27947813335465216]","[0.08321330933435193, 0.1431700301543839, 0.07745777097993341, 0.12774182564072728, 0.05810667756575283]","[0.39228597695599754, 0.44255865523004917, 0.3892374300066206, 0.45721557095474785, 0.421953001571559]","[8.321330933435194, 44.255865523004914, 7.745777097993341, 33.86635868899127, 5.810667756575283]"
"[0.23435490054400238, 0.28108094739843764, 0.27751853155355527, 0.45058253757837763, 0.10935547244683548]","[0.10483341424718695, 0.063047600817379, 0.12003153354182919, 0.12792255241828163, 0.07615060853091149]","[0.530521407443834, 0.4860737867703415, 0.47461074667173725, 0.5289536864054022, 0.40331238596567354]","[10.483341424718695, 17.003075727467007, 12.003153354182919, 52.89536864054022, 7.615060853091149]"
"[0.08903656840989334, 0.33425990586738846, 0.44146044365763554, 0.5051206794645937, 0.38680527891440025]","[0.10741295959477454, 0.10483887702670397, 0.06409631089760674, 0.10673972648755407, 0.0717495763530576]","[0.5167501156928467, 0.4053585561040559, 0.4849639405575814, 0.4617406594911384, 0.36044472868544347]","[10.741295959477453, 10.483887702670398, 25.425792753432546, 46.17406594911384, 7.174957635305761]"
"[0.2096832909181232, 0.5187048587303705, 0.5384604748144043, 0.20860597521468727, 0.3666249434963754]","[0.07717516826829704, 0.147462346683566, 0.130956016559545, 0.08653899658805772, 0.0909449430896192]","[0.4748966317041383, 0.3886929597881272, 0.444902068868319, 0.4109931477402399, 0.47213852997499456]","[7.717516826829704, 30.043882318570695, 44.4902068868319, 8.653899658805772, 9.09449430896192]"
"[0.3608357964901989, 0.5371996415600685, 0.23011058985528543, 0.47770774930747506, 0.13278216722254366]","[0.053687559354218206, 0.050545050967971863, 0.11538570161113541, 0.08495842576904758, 0.12542615630825843]","[0.362348880417702, 0.36741977644954815, 0.39631312742621255, 0.4765402833825202, 0.501967327017271]","[5.36875593542182, 36.741977644954815, 11.538570161113542, 33.808080627683985, 12.542615630825843]"
"[0.4235234984318757, 0.5173095076782185, 0.26286891998840206, 0.3680135695025366, 0.546095923300198]","[0.12732869496384686, 0.103546089779427, 0.13476374621559162, 0.12349288217160645, 0.06794255471475799]","[0.5090310483926734, 0.3992048038251629, 0.4834285770375113, 0.44781390486265876, 0.41823457204693415]","[12.732869496384685, 19.6180104602021, 13.476374621559161, 12.349288217160645, 41.82345720469341]"
"[0.1180032901661573, 0.13129146689539273, 0.1652678290869138, 0.4857012222271651, 0.2951022472191792]","[0.11689623996882299, 0.061481214026737376, 0.1053546554402496, 0.06343931870299006, 0.13905511594217085]","[0.3536293287098382, 0.40478892053910376, 0.3879415690609347, 0.4729473860754829, 0.45505002336869216]","[11.689623996882299, 6.148121402673738, 10.53546554402496, 47.29473860754829, 24.33205044887071]"
"[0.1540564077367717, 0.22762098065099734, 0.12822165749298697, 0.3336898422239774, 0.45310196894942595]","[0.07010232474901976, 0.10511783432696525, 0.07461846140888512, 0.10730369569006523, 0.1490716983161932]","[0.446776782228167, 0.43094162286479043, 0.3555659965844275, 0.4202578114466882, 0.44339108705880725]","[7.010232474901976, 10.511783432696525, 7.461846140888512, 30.677029245632262, 44.339108705880726]"
"[0.49194098295747585, 0.32493841738763907, 0.1256210673473539, 0.5157862033074543, 0.06618807659462346]","[0.1006962744772423, 0.1481488931911199, 0.05746701241387532, 0.09524591955183778, 0.12002819003406424]","[0.5295185065059431, 0.48380637222641054, 0.5376225354510765, 0.35310656777320637, 0.41043121306739067]","[32.12493365877341, 14.814889319111991, 5.746701241387532, 35.31065677732064, 12.002819003406424]"
"[0.3502600329340189, 0.44883877474192796, 0.46590357998965687, 0.5122148877947857, 0.21395379007735843]","[0.10043553968080998, 0.13033223264656388, 0.07882060505256652, 0.12738598237053955, 0.06243347240617353]","[0.4244866316069637, 0.5086725826949767, 0.363578064245986, 0.48672481598792205, 0.4950676812692669]","[10.043553968080998, 13.033223264656387, 22.00739392785306, 48.6724815987922, 6.243347240617353]"
"[0.1652219771580788, 0.31574314572172274, 0.2177082412762094, 0.45979179364984696, 0.2929505763580679]","[0.14943756437662342, 0.09487947981225425, 0.07571010234253253, 0.0936798304193171, 0.10936816419290024]","[0.40960323342530164, 0.35145477685015025, 0.5152437360819525, 0.374457692822209, 0.5428546603180062]","[14.943756437662342, 29.102647626573482, 7.5710102342532535, 37.445769282220894, 10.936816419290023]"
"[0.40713322806174834, 0.08989776711754134, 0.4908498087761202, 0.5186489223878795, 0.5164992397816387]","[0.11725665490136594, 0.1461812043869805, 0.05879199497930054, 0.11282867056537751, 0.14839365509033672]","[0.4277635893707828, 0.4847043883153142, 0.49677969908299285, 0.47470664534797113, 0.4947886087846051]","[11.725665490136594, 14.618120438698051, 5.8791994979300535, 47.470664534797116, 20.306350038438175]"
"[0.39869444319538294, 0.14163314661744508, 0.2723035960148318, 0.5145625959145106, 0.21536339218326195]","[0.0927830386886837, 0.09705736402821902, 0.05202184409677092, 0.13921695773805987, 0.08527052633874099]","[0.3722046974406372, 0.42302108456494175, 0.3581582519566835, 0.4885912101612685, 0.3878803217390367]","[27.705905537500062, 9.705736402821902, 5.202184409677092, 48.85912101612685, 8.5270526338741]"
"[0.17336126284046183, 0.22655858637192394, 0.16006914111193826, 0.12363562599965862, 0.22116444631286658]","[0.07887774141559495, 0.10707517336318326, 0.14764244281800265, 0.1482317763527185, 0.08414265522223033]","[0.4170529406670307, 0.4128212883512007, 0.43377758033253716, 0.3692401682029359, 0.5234687577991224]","[7.887774141559495, 41.28212883512007, 14.764244281800265, 14.82317763527185, 21.242675106248324]"
"[0.5132964445597613, 0.14554076954341572, 0.05596427408457534, 0.2986739229701307, 0.4670517493179329]","[0.12708847880218832, 0.08376635489232595, 0.1274238653358909, 0.09615673492109164, 0.12155330195737435]","[0.3528979826857862, 0.35100706841669066, 0.3593145151668087, 0.37457574046449715, 0.3856229824370412]","[35.28979826857862, 8.376635489232594, 12.74238653358909, 9.615673492109163, 33.97550621649053]"
"[0.08982135142431293, 0.3764059253684423, 0.5346183712568272, 0.31526181292328054, 0.19731113104102277]","[0.09087517078817503, 0.10786352662802148, 0.07965988909996255, 0.13694368454574246, 0.10058953542831198]","[0.542992720386102, 0.36331788312128704, 0.4890656159627946, 0.5056938361328582, 0.37688978977173976]","[9.087517078817504, 18.252599327497606, 48.90656159627946, 13.694368454574246, 10.058953542831198]"
"[0.4949794822244839, 0.1876945932674533, 0.5397122593532913, 0.07419342869179447, 0.25349370742733646]","[0.11433274144570786, 0.11447726422791771, 0.10992899761550659, 0.08133465333997293, 0.07238371741198783]","[0.4720885404081402, 0.42661241536285643, 0.47210414168356185, 0.4502796321050722, 0.5452604560973875]","[25.970022333655958, 11.44772642279177, 47.21041416835619, 8.133465333997293, 7.238371741198783]"
"[0.18795750368125919, 0.062197645302208684, 0.18182604201375624, 0.15307371637957606, 0.22700302488480129]","[0.13297475653724888, 0.05217937400280568, 0.12196628276486955, 0.10630889820424616, 0.08929850156780583]","[0.5286475338471467, 0.40103068449332246, 0.41639517788206337, 0.47256379475825283, 0.4303148018252093]","[28.923064320286926, 5.217937400280568, 12.196628276486955, 10.630889820424617, 43.03148018252093]"
"[0.07942134502718408, 0.24482347346504768, 0.08386267977902497, 0.42412147573009884, 0.19097960423388272]","[0.09740606832948139, 0.12821524911252336, 0.13005417008463388, 0.0759823041257819, 0.1319839218409023]","[0.5401296364159898, 0.45861284108269573, 0.4844332224489264, 0.4731837876613127, 0.4681806497998206]","[9.740606832948139, 16.737205208366973, 13.005417008463388, 47.31837876613127, 13.19839218409023]"
"[0.10755339156923456, 0.09967639884986342, 0.38721130132956616, 0.41020055799495114, 0.4780701612964308]","[0.14781526587443555, 0.05407123757451994, 0.08106307153441313, 0.10495594855663537, 0.11172584291839581]","[0.499860311999072, 0.40364825526111225, 0.37934371259422367, 0.5018050642705092, 0.43621000980713925]","[14.781526587443555, 5.407123757451994, 8.106307153441312, 28.08404152094922, 43.62100098071392]"
"[0.5011071032455546, 0.303895631509242, 0.12802618751342265, 0.31065680783204613, 0.4978034492838533]","[0.1372794687704783, 0.1191837838757985, 0.08699720695488597, 0.06196597415728475, 0.12866252515591828]","[0.5478241155932855, 0.4669562553027948, 0.4832175480121522, 0.49086109336387657, 0.5483980949132414]","[54.78241155932855, 11.91837838757985, 8.699720695488597, 6.1965974157284744, 18.40289194187453]"
"[0.5099934817924651, 0.304532072126457, 0.26124407384376525, 0.1968162217285972, 0.3758998858943069]","[0.05567590147536308, 0.12517076988026365, 0.075161175054495, 0.1163757766148808, 0.10271529060925903]","[0.5390124297479846, 0.5377717207893197, 0.39315497591580945, 0.45082999859138617, 0.38717691917038105]","[53.90124297479846, 12.517076988026366, 7.5161175054495, 11.63757766148808, 14.427984870237594]"
"[0.4344737885095912, 0.36911328053796527, 0.3589934366105282, 0.14608658597777957, 0.45064064948278193]","[0.14747857799120856, 0.05023277569158311, 0.05547795274458146, 0.11167854348017636, 0.11738723749758036]","[0.38869687499232386, 0.5138565406430945, 0.3714833945989058, 0.4319970831471716, 0.505515615457982]","[27.709511262567716, 5.023277569158311, 5.547795274458147, 11.167854348017636, 50.551561545798194]"
"[0.526685429675606, 0.3087962024225295, 0.09088619973650915, 0.15391033471026366, 0.32603100515582273]","[0.14916658600506733, 0.10566168058797604, 0.1419753086094653, 0.10790174321562622, 0.08777242571495511]","[0.44670300729062645, 0.4846679715684218, 0.5205723794248244, 0.4882935418051504, 0.5319717936769776]","[44.670300729062646, 10.566168058797604, 14.19753086094653, 10.790174321562622, 19.7758260296306]"
"[0.20939775298688457, 0.07763007674752266, 0.5193034504210655, 0.51783888393959, 0.4735126719937157]","[0.13212577856289784, 0.10656562983270623, 0.10935003950927834, 0.09074377100885841, 0.06032997203895582]","[0.5067611884915042, 0.5484758637237442, 0.5299012073458361, 0.4378140481933623, 0.518011418926781]","[13.212577856289784, 10.656562983270623, 52.99012073458361, 17.107741221960403, 6.032997203895582]"
"[0.4981156843331559, 0.5035556396839789, 0.4058646898207986, 0.15230904449411858, 0.10337840075015199]","[0.09818030722425668, 0.06343891514677541, 0.12535741044173143, 0.13632646835472476, 0.13957122533513905]","[0.5233167566317237, 0.43335464033586757, 0.5185281625835763, 0.37103252854034624, 0.3714678569623824]","[16.539025553253715, 43.33546403358676, 12.535741044173143, 13.632646835472476, 13.957122533513905]"
"[0.45212573044864507, 0.402237663787298, 0.11867823498582276, 0.42402403972240327, 0.060487779582769366]","[0.1428282182594951, 0.08110469337026581, 0.11002330031346974, 0.1299772619695445, 0.12900828509539247]","[0.4341320022051896, 0.4132675392883223, 0.41745168459702175, 0.5175158768579741, 0.5311704669757554]","[43.41320022051896, 8.110469337026581, 11.002330031346974, 24.573171901568244, 12.900828509539247]"
"[0.31378980676352636, 0.45858689975040284, 0.19840207524681447, 0.4048989973006348, 0.3521282728008624]","[0.133918432543026, 0.08415592725817532, 0.05890597961181276, 0.07236090400051234, 0.05574412297711288]","[0.526220491131749, 0.4599006089898428, 0.42683182375978423, 0.54375916878819, 0.40107320037833294]","[13.391843254302598, 45.99006089898428, 5.8905979611812755, 29.153085587820552, 5.574412297711287]"
"[0.15760700286586637, 0.2362207940988048, 0.39022314662097046, 0.445345444267063, 0.5295215910992347]","[0.10028347097450334, 0.11907811618860777, 0.1092354923412495, 0.06860031451225312, 0.14699740806340106]","[0.5490472253131428, 0.44556591918632665, 0.47648915247960455, 0.4956295191074375, 0.3903509989275903]","[10.028347097450334, 11.907811618860777, 10.92354923412495, 28.10519215680491, 39.03509989275903]"
"[0.0770096026836254, 0.30460670512024257, 0.4718739221087578, 0.5326032754905377, 0.26761762148115414]","[0.11585178952759372, 0.06907822219987385, 0.1477825798178729, 0.13721490179959178, 0.13824307842118966]","[0.5024589524836995, 0.35412587640208987, 0.35729631633636755, 0.3642607426544028, 0.37062366765660965]","[11.585178952759371, 6.907822219987385, 31.256616719693994, 36.42607426544028, 13.824307842118966]"
"[0.47329690536663743, 0.5140668944487218, 0.06374384101825893, 0.3450626353597523, 0.35101749847110264]","[0.08442031495924901, 0.13661363099852297, 0.0935354085153075, 0.1250844976388374, 0.05395694400863497]","[0.36783729473380145, 0.5319436623118619, 0.36691909446861387, 0.4829034519254719, 0.46842514818943626]","[19.547948752535824, 53.19436623118619, 9.35354085153075, 12.508449763883739, 5.395694400863497]"
"[0.14555732920753184, 0.28939662410101163, 0.17885882480105236, 0.35937044151739533, 0.097361303069972]","[0.1301905277846926, 0.13026014203998554, 0.09491015555110632, 0.06518501123091122, 0.0875067588828606]","[0.4419401431979836, 0.4786802561000876, 0.4911816141520253, 0.4545524608453004, 0.4211385224368316]","[13.01905277846926, 23.284009693604016, 9.491015555110632, 45.45524608453004, 8.75067588828606]"
"[0.26924236868520623, 0.37679538764515175, 0.16220048371827733, 0.49167235514390095, 0.21610182316230242]","[0.12877769094676894, 0.05967485250536935, 0.05845131695872529, 0.11057340100953797, 0.13596891198039873]","[0.37575928269620684, 0.4875917734360576, 0.3539225448872852, 0.5491774164390343, 0.5372316055175796]","[12.877769094676895, 12.762466367507283, 5.845131695872529, 54.917741643903426, 13.596891198039874]"
"[0.42569104338951086, 0.06509319341091054, 0.4447138954155877, 0.46125434282581423, 0.2390256542478213]","[0.09042000348068555, 0.11871640356301914, 0.10988812970898479, 0.11760472852838266, 0.12225765996341594]","[0.4279108198808339, 0.5259160233371202, 0.3531485817387933, 0.4911976582965023, 0.41991944358128375]","[9.042000348068555, 11.871640356301913, 17.740827469637708, 49.119765829650234, 12.225765996341593]"
"[0.299832155750114, 0.21574546523782628, 0.22852122187290896, 0.15544499010983848, 0.24313852772181543]","[0.08203199325094321, 0.0857524473626697, 0.09585067767866168, 0.07965990747076243, 0.1487850907207393]","[0.4531859236334173, 0.41984374770863403, 0.5301899800829655, 0.40972320777815785, 0.5337776647083852]","[45.31859236334173, 8.575244736266969, 9.585067767866168, 7.965990747076243, 28.55510438544889]"
"[0.46842259118360496, 0.2690814461412154, 0.5102159574689896, 0.1515887460856803, 0.3858133550916278]","[0.1428384925373936, 0.054581221812540416, 0.08685573592773738, 0.057455337720547506, 0.0656303953423952]","[0.38937008655007094, 0.38642289906608146, 0.496855591486973, 0.4478817404098034, 0.45832272768510884]","[32.54774536375438, 5.4581221812540415, 49.6855591486973, 5.745533772054751, 6.56303953423952]"
"[0.07856626314779248, 0.2819863182433109, 0.5379049026760234, 0.09714238564977452, 0.4337201272434122]","[0.131793244104373, 0.08677299294986682, 0.12606580223503305, 0.06872464988155196, 0.13517889341753364]","[0.4314116401513878, 0.5451277823037177, 0.40507109614477477, 0.5376381321981992, 0.5072349798410483]","[13.1793244104373, 8.677299294986682, 40.50710961447748, 6.872464988155196, 30.763801691943343]"
"[0.12931302517053828, 0.45019799438317465, 0.5214355807879107, 0.17787353923701849, 0.054143407362041054]","[0.06676829463625616, 0.0509058515777331, 0.05659303928895857, 0.0686886331395171, 0.13932357323632172]","[0.4030852078024787, 0.47125891365628547, 0.5205646176101739, 0.43846346144405496, 0.5139606721900439]","[6.676829463625617, 20.465488137773107, 52.05646176101739, 6.86886331395171, 13.932357323632171]"
"[0.4162236930341891, 0.13187752588290308, 0.09121041895063749, 0.18343951667545705, 0.05065639806319462]","[0.1138592465235707, 0.1445683829537815, 0.1058588851677999, 0.13751530268907552, 0.09274904217069495]","[0.4995829108043339, 0.3541290281691281, 0.4777471310564483, 0.43980665581399, 0.4086837333973415]","[49.95829108043339, 14.45683829537815, 10.58588851677999, 15.724077890338979, 9.274904217069494]"
"[0.19192524016395712, 0.0963165110499007, 0.5120443525023785, 0.364081467730024, 0.3724839161646022]","[0.13613866577830158, 0.13351921868373554, 0.06260276052162508, 0.0505710060881191, 0.06189922436094414]","[0.5426360600773679, 0.41355906226432726, 0.5070212008396197, 0.39444699629572527, 0.4993597727456769]","[13.613866577830159, 13.351921868373553, 50.702120083961965, 5.0571006088119095, 17.274990861022424]"
